Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,screen_size_inches,Weight_lb,Price_binned,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,screen_size_inches,Weight_lb,Price_binned,Screen_Full HD,Screen_IPS Panel
0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.53,Low,0,Acer,4,2,1,5,0.5517241379310345,8,256,978,14.0,3.53,Low,False,True
1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.6,4.85,Low,1,Dell,3,1,1,3,0.6896551724137931,4,256,634,15.6,4.85,Low,True,False
2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.6,4.85,Low,2,Dell,3,1,1,7,0.9310344827586208,8,256,946,15.6,4.85,Low,True,False
3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.3,2.69,Low,3,Dell,4,2,1,5,0.5517241379310345,8,128,1244,13.3,2.69,Low,False,True
4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.6,4.21,Low,4,HP,4,2,1,7,0.6206896551724138,8,256,837,15.6,4.21,Low,True,False
5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.6,4.85,Low,5,Dell,3,1,1,5,0.5517241379310345,8,256,1016,15.6,4.85,Low,True,False
6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.6,4.63,Low,6,HP,3,3,1,5,0.5517241379310345,8,256,1117,15.6,4.63,Low,True,False
7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.85,Low,7,Acer,3,2,1,5,0.5517241379310345,4,256,866,15.0,4.85,Low,False,True
8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.6,5.07,Low,8,Dell,3,1,1,5,0.8620689655172414,4,256,812,15.6,5.07,Low,True,False
9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.85,Low,9,Acer,3,3,1,7,0.6206896551724138,8,256,1068,15.0,4.85,Low,False,True
10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.6,4.7,Low,10,Dell,3,1,1,7,0.6206896551724138,8,256,975,15.6,4.7,Low,True,False
11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.6,4.21,Low,11,HP,3,2,1,3,0.6896551724137931,4,128,558,15.6,4.21,Low,True,False
12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.6,4.41,Low,12,Asus,3,2,2,3,0.6896551724137931,4,256,527,15.6,4.41,Low,True,False
13,Dell,4,2,1,5,0.5517241379310345,8,256,1117,14.0,3.75,Low,13,Dell,4,2,1,5,0.5517241379310345,8,256,1117,14.0,3.75,Low,True,False
14,Asus,3,2,1,5,0.5517241379310345,8,256,1195,14.0,3.09,Low,14,Asus,3,2,1,5,0.5517241379310345,8,256,1195,14.0,3.09,Low,True,False
15,HP,3,2,1,5,0.8620689655172414,8,256,876,15.6,4.1,Low,15,HP,3,2,1,5,0.8620689655172414,8,256,876,15.6,4.1,Low,True,False
16,Dell,4,1,1,7,0.6206896551724138,8,256,1213,13.0,3.09,Low,16,Dell,4,1,1,7,0.6206896551724138,8,256,1213,13.0,3.09,Low,False,True
17,Dell,3,1,1,7,0.6206896551724138,8,256,1105,15.6,4.85,Low,17,Dell,3,1,1,7,0.6206896551724138,8,256,1105,15.6,4.85,Low,True,False
18,Dell,4,2,1,5,0.5517241379310345,8,256,1392,15.0,4.15,Low,18,Dell,4,2,1,5,0.5517241379310345,8,256,1392,15.0,4.15,Low,False,True
19,HP,3,2,1,5,0.5517241379310345,8,256,1092,14.0,3.59,Low,19,HP,3,2,1,5,0.5517241379310345,8,256,1092,14.0,3.59,Low,True,False
20,HP,4,3,1,7,0.6206896551724138,8,256,888,15.0,4.04,Low,20,HP,4,3,1,7,0.6206896551724138,8,256,888,15.0,4.04,Low,False,True
21,HP,3,2,1,5,0.8620689655172414,8,256,761,15.6,4.32,Low,21,HP,3,2,1,5,0.8620689655172414,8,256,761,15.6,4.32,Low,True,False
22,Dell,4,2,1,7,0.6206896551724138,8,256,2095,13.0,2.67,Medium,22,Dell,4,2,1,7,0.6206896551724138,8,256,2095,13.0,2.67,Medium,False,True
23,Dell,1,3,1,5,0.8620689655172414,8,256,1518,15.6,5.84,Low,23,Dell,1,3,1,5,0.8620689655172414,8,256,1518,15.6,5.84,Low,True,False
24,Asus,4,2,1,7,0.9310344827586208,8,256,1333,14.0,2.76,Low,24,Asus,4,2,1,7,0.9310344827586208,8,256,1333,14.0,2.76,Low,True,False
25,Dell,3,1,2,3,0.6896551724137931,4,256,616,15.6,4.85,Low,25,Dell,3,1,2,3,0.6896551724137931,4,256,616,15.6,4.85,Low,True,False
26,Asus,3,3,1,3,0.8275862068965517,6,256,733,15.6,4.41,Low,26,Asus,3,3,1,3,0.8275862068965517,6,256,733,15.6,4.41,Low,True,False
27,HP,3,1,1,7,0.9310344827586208,8,256,913,15.6,4.21,Low,27,HP,3,1,1,7,0.9310344827586208,8,256,913,15.6,4.21,Low,True,False
28,HP,4,3,1,7,0.9310344827586208,8,256,1421,13.0,3.04,Low,28,HP,4,3,1,7,0.9310344827586208,8,256,1421,13.0,3.04,Low,False,True
29,HP,3,3,1,5,0.8620689655172414,6,256,837,14.0,4.11,Low,29,HP,3,3,1,5,0.8620689655172414,6,256,837,14.0,4.11,Low,False,True
30,Asus,4,3,1,7,0.9310344827586208,8,256,1515,14.0,2.87,Low,30,Asus,4,3,1,7,0.9310344827586208,8,256,1515,14.0,2.87,Low,False,True
31,Lenovo,3,2,1,7,0.9310344827586208,8,256,1880,14.0,3.48,Medium,31,Lenovo,3,2,1,7,0.9310344827586208,8,256,1880,14.0,3.48,Medium,False,True
32,Dell,4,2,1,5,0.5517241379310345,8,256,2069,13.0,2.67,Medium,32,Dell,4,2,1,5,0.5517241379310345,8,256,2069,13.0,2.67,Medium,False,True
33,Asus,3,3,1,7,0.6206896551724138,8,256,1420,15.6,3.75,Low,33,Asus,3,3,1,7,0.6206896551724138,8,256,1420,15.6,3.75,Low,True,False
34,HP,3,2,1,5,0.5517241379310345,8,256,1179,17.3,5.51,Low,34,HP,3,2,1,5,0.5517241379310345,8,256,1179,17.3,5.51,Low,True,False
35,Acer,4,2,1,7,0.6206896551724138,8,256,1123,14.0,3.53,Low,35,Acer,4,2,1,7,0.6206896551724138,8,256,1123,14.0,3.53,Low,False,True
36,Acer,3,3,1,3,0.9310344827586208,4,256,727,15.6,4.85,Low,36,Acer,3,3,1,3,0.9310344827586208,4,256,727,15.6,4.85,Low,True,False
37,HP,3,2,1,7,0.6206896551724138,8,256,1255,14.0,3.59,Low,37,HP,3,2,1,7,0.6206896551724138,8,256,1255,14.0,3.59,Low,True,False
38,HP,3,2,1,5,0.8620689655172414,4,256,888,13.0,4.11,Low,38,HP,3,2,1,5,0.8620689655172414,4,256,888,13.0,4.11,Low,False,True
39,Lenovo,3,1,1,5,0.5517241379310345,8,256,1418,14.0,3.86,Low,39,Lenovo,3,1,1,5,0.5517241379310345,8,256,1418,14.0,3.86,Low,False,True
40,Asus,4,2,1,7,0.6206896551724138,8,256,1396,14.0,2.76,Low,40,Asus,4,2,1,7,0.6206896551724138,8,256,1396,14.0,2.76,Low,True,False
41,HP,4,2,1,5,0.9310344827586208,4,256,1374,14.0,3.26,Low,41,HP,4,2,1,5,0.9310344827586208,4,256,1374,14.0,3.26,Low,True,False
42,HP,3,1,1,5,0.5517241379310345,6,256,786,15.6,4.21,Low,42,HP,3,1,1,5,0.5517241379310345,6,256,786,15.6,4.21,Low,True,False
43,Acer,3,3,1,5,0.5517241379310345,4,256,1023,17.0,6.62,Low,43,Acer,3,3,1,5,0.5517241379310345,4,256,1023,17.0,6.62,Low,False,True
44,Dell,3,1,1,5,0.5517241379310345,8,256,925,15.6,4.7,Low,44,Dell,3,1,1,5,0.5517241379310345,8,256,925,15.6,4.7,Low,True,False
45,Lenovo,1,3,1,7,0.9655172413793103,16,256,1371,15.0,5.51,Low,45,Lenovo,1,3,1,7,0.9655172413793103,16,256,1371,15.0,5.51,Low,False,True
46,Acer,3,3,1,5,0.5517241379310345,8,256,1085,17.0,6.62,Low,46,Acer,3,3,1,5,0.5517241379310345,8,256,1085,17.0,6.62,Low,False,True
47,Huawei,4,2,1,5,0.8620689655172414,8,256,1714,13.0,2.32,Medium,47,Huawei,4,2,1,5,0.8620689655172414,8,256,1714,13.0,2.32,Medium,False,True
48,HP,3,3,1,5,0.5517241379310345,8,256,1172,17.3,5.51,Low,48,HP,3,3,1,5,0.5517241379310345,8,256,1172,17.3,5.51,Low,True,False
49,Dell,4,2,1,5,0.5517241379310345,8,256,1777,13.3,4.11,Medium,49,Dell,4,2,1,5,0.5517241379310345,8,256,1777,13.3,4.11,Medium,True,False
50,Acer,4,2,1,5,0.41379310344827586,8,256,1256,13.0,2.47,Low,50,Acer,4,2,1,5,0.41379310344827586,8,256,1256,13.0,2.47,Low,False,True
51,HP,3,3,1,7,0.6206896551724138,8,256,1327,17.3,5.51,Low,51,HP,3,3,1,7,0.6206896551724138,8,256,1327,17.3,5.51,Low,True,False
52,Dell,4,2,1,7,0.6206896551724138,8,256,1841,13.3,2.65,Medium,52,Dell,4,2,1,7,0.6206896551724138,8,256,1841,13.3,2.65,Medium,True,False
53,Dell,4,1,1,7,0.6206896551724138,8,256,1184,13.0,3.09,Low,53,Dell,4,1,1,7,0.6206896551724138,8,256,1184,13.0,3.09,Low,False,True
54,HP,3,3,1,7,0.6206896551724138,8,256,1310,14.0,3.59,Low,54,HP,3,3,1,7,0.6206896551724138,8,256,1310,14.0,3.59,Low,True,False
55,Dell,4,2,1,5,0.5517241379310345,8,256,1460,14.0,3.53,Low,55,Dell,4,2,1,5,0.5517241379310345,8,256,1460,14.0,3.53,Low,True,False
56,Dell,3,1,2,5,0.5517241379310345,8,256,860,15.6,4.85,Low,56,Dell,3,1,2,5,0.5517241379310345,8,256,860,15.6,4.85,Low,True,False
57,Toshiba,4,2,1,7,0.8620689655172414,8,256,1731,13.3,2.65,Medium,57,Toshiba,4,2,1,7,0.8620689655172414,8,256,1731,13.3,2.65,Medium,True,False
58,Acer,3,3,1,7,0.9310344827586208,8,256,1057,15.6,4.85,Low,58,Acer,3,3,1,7,0.9310344827586208,8,256,1057,15.6,4.85,Low,True,False
59,Asus,3,3,1,5,0.8620689655172414,8,256,977,15.6,4.41,Low,59,Asus,3,3,1,5,0.8620689655172414,8,256,977,15.6,4.41,Low,True,False
60,Dell,3,2,1,5,0.8620689655172414,8,256,1091,14.0,3.53,Low,60,Dell,3,2,1,5,0.8620689655172414,8,256,1091,14.0,3.53,Low,True,False
61,Dell,3,1,2,7,0.9310344827586208,16,256,1142,15.6,4.11,Low,61,Dell,3,1,2,7,0.9310344827586208,16,256,1142,15.6,4.11,Low,True,False
62,Acer,1,3,1,5,0.8620689655172414,8,256,1075,15.0,5.51,Low,62,Acer,1,3,1,5,0.8620689655172414,8,256,1075,15.0,5.51,Low,False,True
63,Dell,1,3,1,5,0.8620689655172414,8,256,1117,15.6,5.64,Low,63,Dell,1,3,1,5,0.8620689655172414,8,256,1117,15.6,5.64,Low,True,False
64,Asus,1,3,1,7,1.0,16,256,3810,17.3,7.94,High,64,Asus,1,3,1,7,1.0,16,256,3810,17.3,7.94,High,True,False
65,Acer,3,3,1,3,0.9310344827586208,4,256,892,17.0,6.62,Low,65,Acer,3,3,1,3,0.9310344827586208,4,256,892,17.0,6.62,Low,False,True
66,Dell,4,2,1,5,0.5517241379310345,8,256,1206,13.3,3.11,Low,66,Dell,4,2,1,5,0.5517241379310345,8,256,1206,13.3,3.11,Low,True,False
67,Lenovo,3,2,1,7,0.6206896551724138,8,256,1118,15.6,4.52,Low,67,Lenovo,3,2,1,7,0.6206896551724138,8,256,1118,15.6,4.52,Low,True,False
68,Dell,3,1,2,7,0.6206896551724138,8,256,934,15.6,4.11,Low,68,Dell,3,1,2,7,0.6206896551724138,8,256,934,15.6,4.11,Low,True,False
69,Lenovo,1,3,1,5,0.8620689655172414,8,256,1053,15.0,5.51,Low,69,Lenovo,1,3,1,5,0.8620689655172414,8,256,1053,15.0,5.51,Low,False,True
70,Lenovo,3,2,1,5,0.8620689655172414,6,256,735,15.6,4.85,Low,70,Lenovo,3,2,1,5,0.8620689655172414,6,256,735,15.6,4.85,Low,True,False
71,Acer,3,3,1,7,0.6206896551724138,8,256,1208,15.0,6.62,Low,71,Acer,3,3,1,7,0.6206896551724138,8,256,1208,15.0,6.62,Low,False,True
72,Lenovo,3,2,1,7,0.9310344827586208,8,256,1394,15.0,4.3,Low,72,Lenovo,3,2,1,7,0.9310344827586208,8,256,1394,15.0,4.3,Low,False,True
73,Asus,4,3,1,5,0.8620689655172414,8,256,1241,15.6,3.75,Low,73,Asus,4,3,1,5,0.8620689655172414,8,256,1241,15.6,3.75,Low,True,False
74,Dell,3,3,1,7,0.9655172413793103,8,256,2323,15.6,4.41,Medium,74,Dell,3,3,1,7,0.9655172413793103,8,256,2323,15.6,4.41,Medium,True,False
75,Lenovo,3,2,1,5,0.5517241379310345,8,256,939,15.6,4.52,Low,75,Lenovo,3,2,1,5,0.5517241379310345,8,256,939,15.6,4.52,Low,True,False
76,Acer,3,3,2,7,0.9655172413793103,8,256,1244,15.6,5.51,Low,76,Acer,3,3,2,7,0.9655172413793103,8,256,1244,15.6,5.51,Low,True,False
77,Dell,5,3,1,7,1.0,16,256,3665,17.3,7.54,High,77,Dell,5,3,1,7,1.0,16,256,3665,17.3,7.54,High,True,False
78,Toshiba,3,3,1,7,0.8620689655172414,8,256,1325,15.0,4.85,Low,78,Toshiba,3,3,1,7,0.8620689655172414,8,256,1325,15.0,4.85,Low,False,True
79,Lenovo,3,2,1,5,0.8620689655172414,8,256,1269,13.0,2.43,Low,79,Lenovo,3,2,1,5,0.8620689655172414,8,256,1269,13.0,2.43,Low,False,True
80,HP,3,2,1,5,0.8620689655172414,8,256,1245,14.0,4.3,Low,80,HP,3,2,1,5,0.8620689655172414,8,256,1245,14.0,4.3,Low,True,False
81,HP,3,2,1,7,0.9310344827586208,8,256,1641,14.0,3.26,Medium,81,HP,3,2,1,7,0.9310344827586208,8,256,1641,14.0,3.26,Medium,True,False
82,Asus,3,2,1,7,0.9310344827586208,8,256,1390,14.0,4.41,Low,82,Asus,3,2,1,7,0.9310344827586208,8,256,1390,14.0,4.41,Low,True,False
83,Asus,4,3,1,7,0.9310344827586208,8,256,1334,15.6,3.75,Low,83,Asus,4,3,1,7,0.9310344827586208,8,256,1334,15.6,3.75,Low,True,False
84,HP,4,2,1,7,0.9310344827586208,8,256,1696,12.5,2.78,Medium,84,HP,4,2,1,7,0.9310344827586208,8,256,1696,12.5,2.78,Medium,True,False
85,Toshiba,3,2,1,5,0.8620689655172414,8,256,1198,15.0,4.41,Low,85,Toshiba,3,2,1,5,0.8620689655172414,8,256,1198,15.0,4.41,Low,False,True
86,Asus,1,3,1,7,0.9655172413793103,8,256,1269,15.6,5.51,Low,86,Asus,1,3,1,7,0.9655172413793103,8,256,1269,15.6,5.51,Low,True,False
87,HP,3,2,1,5,0.896551724137931,8,256,1611,14.0,3.26,Low,87,HP,3,2,1,5,0.896551724137931,8,256,1611,14.0,3.26,Low,True,False
88,HP,3,2,1,5,0.8620689655172414,8,256,1453,15.6,4.06,Low,88,HP,3,2,1,5,0.8620689655172414,8,256,1453,15.6,4.06,Low,True,False
89,Dell,3,3,1,5,0.5517241379310345,8,256,1452,15.6,4.41,Low,89,Dell,3,3,1,5,0.5517241379310345,8,256,1452,15.6,4.41,Low,True,False
90,Dell,4,2,1,7,0.6206896551724138,8,256,2006,13.3,2.65,Medium,90,Dell,4,2,1,7,0.6206896551724138,8,256,2006,13.3,2.65,Medium,True,False
91,HP,3,2,1,7,0.9310344827586208,8,256,1656,15.6,4.06,Medium,91,HP,3,2,1,7,0.9310344827586208,8,256,1656,15.6,4.06,Medium,True,False
92,HP,5,3,1,7,0.9655172413793103,8,256,2208,15.6,5.73,Medium,92,HP,5,3,1,7,0.9655172413793103,8,256,2208,15.6,5.73,Medium,True,False
93,Dell,3,2,1,5,0.896551724137931,8,256,1813,14.0,3.0,Medium,93,Dell,3,2,1,5,0.896551724137931,8,256,1813,14.0,3.0,Medium,True,False
94,Asus,3,2,1,5,0.8620689655172414,8,256,1200,14.0,4.41,Low,94,Asus,3,2,1,5,0.8620689655172414,8,256,1200,14.0,4.41,Low,True,False
95,Dell,3,1,1,7,0.9310344827586208,8,256,1142,15.6,5.14,Low,95,Dell,3,1,1,7,0.9310344827586208,8,256,1142,15.6,5.14,Low,True,False
96,HP,4,2,1,7,0.9310344827586208,8,256,2223,14.0,3.0,Medium,96,HP,4,2,1,7,0.9310344827586208,8,256,2223,14.0,3.0,Medium,False,True
97,Lenovo,3,3,1,5,0.8620689655172414,8,256,1396,14.0,3.31,Low,97,Lenovo,3,3,1,5,0.8620689655172414,8,256,1396,14.0,3.31,Low,False,True
98,Lenovo,3,2,1,3,0.8275862068965517,4,128,697,13.0,3.31,Low,98,Lenovo,3,2,1,3,0.8275862068965517,4,128,697,13.0,3.31,Low,False,True
99,Dell,5,3,1,7,0.9310344827586208,8,256,2712,15.0,4.41,Medium,99,Dell,5,3,1,7,0.9310344827586208,8,256,2712,15.0,4.41,Medium,False,True
100,MSI,1,3,1,7,0.9655172413793103,8,256,1714,17.3,5.95,Medium,100,MSI,1,3,1,7,0.9655172413793103,8,256,1714,17.3,5.95,Medium,True,False
101,Dell,3,1,2,7,0.9310344827586208,8,256,989,15.6,5.14,Low,101,Dell,3,1,2,7,0.9310344827586208,8,256,989,15.6,5.14,Low,True,False
102,Lenovo,3,1,1,7,0.6206896551724138,8,256,1562,15.0,4.63,Low,102,Lenovo,3,1,1,7,0.6206896551724138,8,256,1562,15.0,4.63,Low,False,True
103,Lenovo,3,2,1,5,0.8620689655172414,8,256,1192,14.0,4.19,Low,103,Lenovo,3,2,1,5,0.8620689655172414,8,256,1192,14.0,4.19,Low,False,True
104,Acer,3,3,2,7,0.9655172413793103,8,256,1117,15.6,5.51,Low,104,Acer,3,3,2,7,0.9655172413793103,8,256,1117,15.6,5.51,Low,True,False
105,Dell,3,1,2,5,0.8620689655172414,4,256,761,15.6,5.07,Low,105,Dell,3,1,2,5,0.8620689655172414,4,256,761,15.6,5.07,Low,True,False
106,HP,4,2,1,7,0.8620689655172414,8,256,1905,14.0,3.15,Medium,106,HP,4,2,1,7,0.8620689655172414,8,256,1905,14.0,3.15,Medium,True,False
107,Lenovo,4,1,1,7,0.6206896551724138,8,256,1544,14.0,3.86,Low,107,Lenovo,4,1,1,7,0.6206896551724138,8,256,1544,14.0,3.86,Low,False,True
108,HP,3,2,1,7,1.0,8,256,1813,15.6,5.09,Medium,108,HP,3,2,1,7,1.0,8,256,1813,15.6,5.09,Medium,True,False
109,Dell,4,2,2,7,0.9655172413793103,8,256,1396,14.0,3.53,Low,109,Dell,4,2,2,7,0.9655172413793103,8,256,1396,14.0,3.53,Low,True,False
110,Lenovo,3,2,1,7,0.9310344827586208,8,256,1283,13.0,3.09,Low,110,Lenovo,3,2,1,7,0.9310344827586208,8,256,1283,13.0,3.09,Low,False,True
111,Lenovo,3,2,1,3,0.9310344827586208,4,128,761,14.0,3.75,Low,111,Lenovo,3,2,1,3,0.9310344827586208,4,128,761,14.0,3.75,Low,False,True
112,Asus,3,2,2,5,0.8620689655172414,4,256,710,15.6,4.41,Low,112,Asus,3,2,2,5,0.8620689655172414,4,256,710,15.6,4.41,Low,True,False
113,Dell,3,1,1,5,0.5517241379310345,4,256,951,15.6,4.85,Low,113,Dell,3,1,1,5,0.5517241379310345,4,256,951,15.6,4.85,Low,True,False
114,Lenovo,4,2,1,5,0.8620689655172414,8,256,1815,12.0,3.0,Medium,114,Lenovo,4,2,1,5,0.8620689655172414,8,256,1815,12.0,3.0,Medium,False,True
115,Dell,3,3,1,5,0.9655172413793103,8,256,1498,14.0,3.62,Low,115,Dell,3,3,1,5,0.9655172413793103,8,256,1498,14.0,3.62,Low,True,False
116,MSI,1,3,1,5,0.8620689655172414,8,256,1306,15.6,4.85,Low,116,MSI,1,3,1,5,0.8620689655172414,8,256,1306,15.6,4.85,Low,True,False
117,Dell,5,3,1,7,0.9310344827586208,16,256,2509,15.0,4.78,Medium,117,Dell,5,3,1,7,0.9310344827586208,16,256,2509,15.0,4.78,Medium,False,True
118,Lenovo,3,2,1,5,0.8620689655172414,8,256,1709,14.0,3.64,Medium,118,Lenovo,3,2,1,5,0.8620689655172414,8,256,1709,14.0,3.64,Medium,True,False
119,Lenovo,3,3,1,7,1.0,8,256,2655,15.6,5.89,Medium,119,Lenovo,3,3,1,7,1.0,8,256,2655,15.6,5.89,Medium,True,False
